index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA
1723,USA,ALCOHOL,TOT,LT_CAP15,A,1960,7.8
1724,USA,ALCOHOL,TOT,LT_CAP15,A,1961,7.8
1725,USA,ALCOHOL,TOT,LT_CAP15,A,1962,8
1726,USA,ALCOHOL,TOT,LT_CAP15,A,1963,8.1
1727,USA,ALCOHOL,TOT,LT_CAP15,A,1964,8.4
1728,USA,ALCOHOL,TOT,LT_CAP15,A,1965,8.6
1729,USA,ALCOHOL,TOT,LT_CAP15,A,1966,8.8
1730,USA,ALCOHOL,TOT,LT_CAP15,A,1967,9
1731,USA,ALCOHOL,TOT,LT_CAP15,A,1968,9.3
1732,USA,ALCOHOL,TOT,LT_CAP15,A,1969,9.5
1733,USA,ALCOHOL,TOT,LT_CAP15,A,1970,9.5
1734,USA,ALCOHOL,TOT,LT_CAP15,A,1971,9.8
1735,USA,ALCOHOL,TOT,LT_CAP15,A,1972,9.6
1736,USA,ALCOHOL,TOT,LT_CAP15,A,1973,9.8
1737,USA,ALCOHOL,TOT,LT_CAP15,A,1974,10
1738,USA,ALCOHOL,TOT,LT_CAP15,A,1975,10.1
1739,USA,ALCOHOL,TOT,LT_CAP15,A,1976,10.1
1740,USA,ALCOHOL,TOT,LT_CAP15,A,1977,9.8
1741,USA,ALCOHOL,TOT,LT_CAP15,A,1978,10.1
1742,USA,ALCOHOL,TOT,LT_CAP15,A,1979,10.2
1743,USA,ALCOHOL,TOT,LT_CAP15,A,1980,10.4
1744,USA,ALCOHOL,TOT,LT_CAP15,A,1981,10.4
1745,USA,ALCOHOL,TOT,LT_CAP15,A,1982,10.3
1746,USA,ALCOHOL,TOT,LT_CAP15,A,1983,10.2
1747,USA,ALCOHOL,TOT,LT_CAP15,A,1984,10
1748,USA,ALCOHOL,TOT,LT_CAP15,A,1985,9.9
1749,USA,ALCOHOL,TOT,LT_CAP15,A,1986,9.8
1750,USA,ALCOHOL,TOT,LT_CAP15,A,1987,9.7
1751,USA,ALCOHOL,TOT,LT_CAP15,A,1988,9.4
1752,USA,ALCOHOL,TOT,LT_CAP15,A,1989,9.2
1753,USA,ALCOHOL,TOT,LT_CAP15,A,1990,9.3
1754,USA,ALCOHOL,TOT,LT_CAP15,A,1991,8.7
1755,USA,ALCOHOL,TOT,LT_CAP15,A,1992,8.7
1756,USA,ALCOHOL,TOT,LT_CAP15,A,1993,8.4
1757,USA,ALCOHOL,TOT,LT_CAP15,A,1994,8.3
1758,USA,ALCOHOL,TOT,LT_CAP15,A,1995,8.1
1759,USA,ALCOHOL,TOT,LT_CAP15,A,1996,8.2
1760,USA,ALCOHOL,TOT,LT_CAP15,A,1997,8.1
1761,USA,ALCOHOL,TOT,LT_CAP15,A,1998,8.1
1762,USA,ALCOHOL,TOT,LT_CAP15,A,1999,8.2
1763,USA,ALCOHOL,TOT,LT_CAP15,A,2000,8.3
1764,USA,ALCOHOL,TOT,LT_CAP15,A,2001,8.3
1765,USA,ALCOHOL,TOT,LT_CAP15,A,2002,8.3
1766,USA,ALCOHOL,TOT,LT_CAP15,A,2003,8.4
1767,USA,ALCOHOL,TOT,LT_CAP15,A,2004,8.5
1768,USA,ALCOHOL,TOT,LT_CAP15,A,2005,8.5
1769,USA,ALCOHOL,TOT,LT_CAP15,A,2006,8.6
1770,USA,ALCOHOL,TOT,LT_CAP15,A,2007,8.7
1771,USA,ALCOHOL,TOT,LT_CAP15,A,2008,8.7
1772,USA,ALCOHOL,TOT,LT_CAP15,A,2009,8.7
1773,USA,ALCOHOL,TOT,LT_CAP15,A,2010,8.6
1774,USA,ALCOHOL,TOT,LT_CAP15,A,2011,8.7
1775,USA,ALCOHOL,TOT,LT_CAP15,A,2012,8.9
1776,USA,ALCOHOL,TOT,LT_CAP15,A,2013,8.8
1777,USA,ALCOHOL,TOT,LT_CAP15,A,2014,8.8
1778,USA,ALCOHOL,TOT,LT_CAP15,A,2015,8.8
1779,USA,ALCOHOL,TOT,LT_CAP15,A,2016,8.9
1780,USA,ALCOHOL,TOT,LT_CAP15,A,2017,8.9
1781,USA,ALCOHOL,TOT,LT_CAP15,A,2018,8.9
1782,USA,ALCOHOL,TOT,LT_CAP15,A,2019,9
1783,USA,ALCOHOL,TOT,LT_CAP15,A,2020,9.2
1784,USA,ALCOHOL,TOT,LT_CAP15,A,2021,9.5
